Dataset_id	MZML_file_name	Species	Project_id
MSV000091610	Ecoli_FAIMS_AC_bio3_tech3.mzML	E. coli	3
MSV000091610	Ecoli_FAIMS_AC_bio3_tech2.mzML	E. coli	3
MSV000091610	Ecoli_FAIMS_LB_bio3_tech3.mzML	E. coli	3
MSV000091610	Ecoli_FAIMS_AC_bio1_tech3.mzML	E. coli	3
MSV000091610	Ecoli_FAIMS_AC_bio4_tech3.mzML	E. coli	3
MSV000091610	Ecoli_FAIMS_LB_bio4_tech3.mzML	E. coli	3
MSV000091610	Ecoli_FAIMS_AC_bio4_tech2.mzML	E. coli	3
MSV000091610	Ecoli_FAIMS_AC_bio2_tech3.mzML	E. coli	3
MSV000091610	Ecoli_FAIMS_LB_bio1_tech3.mzML	E. coli	3
MSV000091610	Ecoli_FAIMS_LB_bio2_tech3.mzML	E. coli	3
MSV000091610	Ecoli_FAIMS_AC_bio1_tech2.mzML	E. coli	3
MSV000091610	Ecoli_FAIMS_LB_bio3_tech2.mzML	E. coli	3
MSV000091610	Ecoli_FAIMS_AC_bio1_tech1.mzML	E. coli	3
MSV000091610	Ecoli_FAIMS_LB_bio4_tech2.mzML	E. coli	3
MSV000091610	Ecoli_FAIMS_AC_bio4_tech1.mzML	E. coli	3
MSV000091610	Ecoli_FAIMS_LB_bio2_tech2.mzML	E. coli	3
MSV000091610	Ecoli_FAIMS_AC_bio2_tech2.mzML	E. coli	3
MSV000091610	Ecoli_FAIMS_LB_bio1_tech2.mzML	E. coli	3
MSV000091610	Ecoli_FAIMS_LB_bio1_tech1b.mzML	E. coli	3
MSV000091610	Ecoli_FAIMS_LB_bio3_tech1.mzML	E. coli	3
MSV000091610	Ecoli_FAIMS_AC_bio3_tech1.mzML	E. coli	3
MSV000091610	Ecoli_FAIMS_AC_bio2_tech1.mzML	E. coli	3
MSV000091610	Ecoli_FAIMS_LB_bio4_tech1.mzML	E. coli	3
MSV000091610	Ecoli_FAIMS_LB_bio2_tech1.mzML	E. coli	3
MSV000091610	Ecoli_noFAIMS_AC_bio4_tech1.mzML	E. coli	3
MSV000091610	Ecoli_noFAIMS_AC_bio3_tech1.mzML	E. coli	3
MSV000091610	Ecoli_noFAIMS_AC_bio4_tech2.mzML	E. coli	3
MSV000091610	Ecoli_noFAIMS_AC_bio1_tech1.mzML	E. coli	3
MSV000091610	Ecoli_noFAIMS_AC_bio3_tech2.mzML	E. coli	3
MSV000091610	Ecoli_noFAIMS_AC_bio3_tech3.mzML	E. coli	3
MSV000091610	Ecoli_noFAIMS_AC_bio1_tech2.mzML	E. coli	3
MSV000091610	Ecoli_noFAIMS_AC_bio4_tech3.mzML	E. coli	3
MSV000091610	Ecoli_noFAIMS_LB_bio1_tech1.mzML	E. coli	3
MSV000091610	Ecoli_noFAIMS_AC_bio2_tech1.mzML	E. coli	3
MSV000091610	Ecoli_noFAIMS_AC_bio2_tech2.mzML	E. coli	3
MSV000091610	Ecoli_noFAIMS_AC_bio1_tech3.mzML	E. coli	3
MSV000091610	Ecoli_noFAIMS_AC_bio2_tech3.mzML	E. coli	3
MSV000091610	Ecoli_noFAIMS_LB_bio2_tech1.mzML	E. coli	3
MSV000091610	Ecoli_noFAIMS_LB_bio4_tech1.mzML	E. coli	3
MSV000091610	Ecoli_noFAIMS_LB_bio2_tech3.mzML	E. coli	3
MSV000091610	Ecoli_noFAIMS_LB_bio4_tech2.mzML	E. coli	3
MSV000091610	Ecoli_noFAIMS_LB_bio3_tech1.mzML	E. coli	3
MSV000091610	Ecoli_noFAIMS_LB_bio2_tech2.mzML	E. coli	3
MSV000091610	Ecoli_noFAIMS_LB_bio1_tech2.mzML	E. coli	3
MSV000091610	Ecoli_noFAIMS_LB_bio1_tech3.mzML	E. coli	3
MSV000091610	Ecoli_noFAIMS_LB_bio4_tech3.mzML	E. coli	3
MSV000091610	Ecoli_noFAIMS_LB_bio3_tech3.mzML	E. coli	3
MSV000091610	Ecoli_noFAIMS_LB_bio3_tech2.mzML	E. coli	3
PXD071282	Ecoli_SEC3_F13.mzML	E. coli	1
PXD071282	Ecoli_SEC3_F12.mzML	E. coli	1
PXD071282	Ecoli_SEC5_F13.mzML	E. coli	1
PXD071282	Ecoli_SEC3_F11.mzML	E. coli	1
PXD071282	Ecoli_SEC3_F10.mzML	E. coli	1
PXD071282	Ecoli_SEC3_F4.mzML	E. coli	1
PXD071282	Ecoli_SEC5_F11.mzML	E. coli	1
PXD071282	Ecoli_SEC3_F8.mzML	E. coli	1
PXD071282	Ecoli_SEC3_F7.mzML	E. coli	1
PXD071282	Ecoli_SEC4_F12.mzML	E. coli	1
PXD071282	Ecoli_SEC3_F5.mzML	E. coli	1
PXD071282	Ecoli_SEC5_F7.mzML	E. coli	1
PXD071282	Ecoli_SEC1_F4.mzML	E. coli	1
PXD071282	Ecoli_SEC3_F9.mzML	E. coli	1
PXD071282	Ecoli_SEC1_F3.mzML	E. coli	1
PXD071282	Ecoli_SEC3_F3.mzML	E. coli	1
PXD071282	Ecoli_SEC3_F6.mzML	E. coli	1
PXD071282	Ecoli_SEC3_F2.mzML	E. coli	1
PXD071282	Ecoli_SEC3_F1.mzML	E. coli	1
PXD071282	Ecoli_SEC5_F10.mzML	E. coli	1
PXD071282	Ecoli_SEC5_F9.mzML	E. coli	1
PXD071282	Ecoli_SEC5_F8.mzML	E. coli	1
PXD071282	Ecoli_SEC1_F1.mzML	E. coli	1
PXD071282	Ecoli_SEC5_F12.mzML	E. coli	1
PXD071282	Ecoli_SEC5_F3.mzML	E. coli	1
PXD071282	Ecoli_SEC4_F10.mzML	E. coli	1
PXD071282	Ecoli_SEC4_F11.mzML	E. coli	1
PXD071282	Ecoli_SEC5_F2.mzML	E. coli	1
PXD071282	Ecoli_SEC4_F9.mzML	E. coli	1
PXD071282	Ecoli_SEC4_F1.mzML	E. coli	1
PXD071282	Ecoli_SEC1_F2.mzML	E. coli	1
PXD071282	Ecoli_SEC4_F7.mzML	E. coli	1
PXD071282	Ecoli_SEC4_F8.mzML	E. coli	1
PXD071282	Ecoli_SEC4_F4.mzML	E. coli	1
PXD071282	Ecoli_SEC4_F2.mzML	E. coli	1
PXD071282	Ecoli_SEC4_F3.mzML	E. coli	1
PXD071282	Ecoli_SEC5_F6.mzML	E. coli	1
PXD071282	Ecoli_SEC5_F1.mzML	E. coli	1
PXD071282	Ecoli_SEC4_F5.mzML	E. coli	1
PXD071282	Ecoli_SEC5_F5.mzML	E. coli	1
PXD071282	Ecoli_SEC4_F6.mzML	E. coli	1
PXD071282	Ecoli_SEC5_F14.mzML	E. coli	1
PXD071282	Ecoli_SEC5_F4.mzML	E. coli	1
MSV000085258	DSB_201900915_M9-J-20190404_PEPPI_F09_02.mzML	E. coli	31
MSV000085258	LCA_DSB_20191105_M9-OL-20190515_GF_02B_01.mzML	E. coli	31
MSV000085258	DSB_201900915_M9-J-20190404_PEPPI_F09_01.mzML	E. coli	31
MSV000085258	LCA_DSB_20191105_M9-OL-20190515_GF_02B_02.mzML	E. coli	31
MSV000085258	LCA_DSB_20191105_M9-OL-20190515_GF_01B_02.mzML	E. coli	31
MSV000085258	DSB_20190914_MG1655_M9-OL-20190515_GF_03_02_190915191709.mzML	E. coli	31
MSV000085258	DSB_20200125_M9-J-20190404_PEPPI09_02.mzML	E. coli	31
MSV000085258	DSB_20200125_M9-J-20190404_PEPPI09_01.mzML	E. coli	31
MSV000085258	LCA_DSB_20191105_M9-OL-20190515_GF_01B_01.mzML	E. coli	31
MSV000085258	LCA_DSB_20191105_M9-OL-20190515_GF_03B_02.mzML	E. coli	31
MSV000085258	LCA_DSB_20191105_M9-OL-20190515_GF_03B_01.mzML	E. coli	31
MSV000085258	LCA_DSB_20191106_M9-OL-20190515_GF_07B_01.mzML	E. coli	31
MSV000085258	LCA_DSB_20191106_M9-OL-20190515_GF_07B_02.mzML	E. coli	31
MSV000085258	LCA_DSB_20191106_M9-OL-20190515_GF_08B_01.mzML	E. coli	31
MSV000085258	LCA_DSB_20191107_M9-OL-20190515_GF_09B_02.mzML	E. coli	31
MSV000085258	LCA_DSB_20191107_M9-OL-20190515_GF_09B_01.mzML	E. coli	31
MSV000085258	LCA_DSB_20191106_M9-OL-20190515_GF_08B_02.mzML	E. coli	31
MSV000085258	LCA_DSB_20191105_M9-OL-20190515_GF_04B_01.mzML	E. coli	31
MSV000085258	DSB_20200124_M9-J-20190404_PEPPI01_02.mzML	E. coli	31
MSV000085258	LCA_DSB_20191105_M9-OL-20190515_GF_04B_02.mzML	E. coli	31
MSV000085258	DSB_20200124_M9-J-20190404_PEPPI01_01.mzML	E. coli	31
MSV000085258	LCA_DSB_20191106_M9-OL-20190515_GF_06B_02.mzML	E. coli	31
MSV000085258	LCA_DSB_20191106_M9-OL-20190515_GF_06B_01.mzML	E. coli	31
MSV000085258	LCA_DSB_20191106_M9-OL-20190515_GF_05B_02.mzML	E. coli	31
MSV000085258	DSB_20200125_M9-J-20190404_PEPPI08_02.mzML	E. coli	31
MSV000085258	LCA_DSB_20191106_M9-OL-20190515_GF_05B_01.mzML	E. coli	31
MSV000085258	DSB_20200125_M9-J-20190404_PEPPI08_01.mzML	E. coli	31
MSV000085258	DSB_20200124_M9-J-20190404_PEPPI04_01.mzML	E. coli	31
MSV000085258	DSB_201900906_M9-J-20190404_PEPPI_F01_01.mzML	E. coli	31
MSV000085258	DSB_201900906_M9-J-20190404_PEPPI_F01_02.mzML	E. coli	31
MSV000085258	DSB_20200124_M9-J-20190404_PEPPI04_02.mzML	E. coli	31
MSV000085258	DSB_20200124_M9-J-20190404_PEPPI02_02.mzML	E. coli	31
