activation	ion	terminus	loss	isotope	label	shift	count	coverage
CID	b	N-term	none	-1	b-1	-1.00235	18430	2.82%
CID	b	N-term	none	0	b	0.0	144802	22.15%
CID	b	N-term	none	1	b+1	1.00235	15965	2.44%
CID	y	C-term	none	-1	y-1	17.0082147	20279	3.10%
CID	y	C-term	none	0	y	18.0105647	145803	22.30%
CID	y	C-term	none	1	y+1	19.0129147	12533	1.92%
HCD	b	N-term	none	-1	b-1	-1.00235	21473	3.13%
HCD	b	N-term	none	0	b	0.0	109760	15.99%
HCD	b	N-term	none	1	b+1	1.00235	10954	1.60%
HCD	y	C-term	none	-1	y-1	17.0082147	22956	3.35%
HCD	y	C-term	none	0	y	18.0105647	136085	19.83%
HCD	y	C-term	none	1	y+1	19.0129147	10591	1.54%
ETD	c	N-term	none	-1	c-1	16.0241991	19020	2.67%
ETD	c	N-term	none	0	c	17.0265491	158533	22.22%
ETD	c	N-term	none	1	c+1	18.0288991	18970	2.66%
ETD	z_dot	C-term	none	-1	z_dot-1	0.9894906	14257	2.00%
ETD	z_dot	C-term	none	0	z_dot	1.9918406	103933	14.57%
ETD	z_dot	C-term	none	1	z_dot+1	2.9941906	38024	5.33%
ETHCD	c	N-term	none	-1	c-1	16.0241991	23602	3.53%
ETHCD	c	N-term	none	0	c	17.0265491	122840	18.35%
ETHCD	c	N-term	none	1	c+1	18.0288991	18261	2.73%
ETHCD	z_dot	C-term	none	-1	z_dot-1	0.9894906	15726	2.35%
ETHCD	z_dot	C-term	none	0	z_dot	1.9918406	72508	10.83%
ETHCD	z_dot	C-term	none	1	z_dot+1	2.9941906	35709	5.33%
