	activation	ion	terminus	loss	isotope	label	shift	count	coverage
0	CID	a	N-term	-H2O	-1	a-H2O-1	-47.0078293	3338	0.51%
1	CID	a	N-term	-H2O	0	a-H2O	-46.0054793	4817	0.74%
2	CID	a	N-term	-NH3	0	a-NH3	-45.0214636	4853	0.74%
3	CID	a	N-term	-NH3	1	a-NH3+1	-44.0191136	4105	0.63%
4	CID	a	N-term	none	-1	a-1	-28.9972646	4184	0.64%
5	CID	a	N-term	none	0	a	-27.9949146	8601	1.32%
6	CID	a	N-term	none	1	a+1	-26.9925646	3698	0.57%
7	CID	b	N-term	-H2O	-1	b-H2O-1	-19.0129147	7098	1.09%
8	CID	b	N-term	-H2O	0	b-H2O	-18.0105647	38217	5.85%
9	CID	b	N-term	-NH3	0	b-NH3	-17.0265490	15943	2.44%
10	CID	b	N-term	-NH3	1	b-NH3+1	-16.0241990	5903	0.90%
11	CID	c	N-term	-H2O	-1	c-H2O-1	-1.9863656	4744	0.73%
12	CID	b	N-term	none	-1	b-1	-1.0023500	18430	2.82%
13	CID	b	N-term	none	0	b	0.0000000	144802	22.15%
14	CID	b	N-term	none	1	b+1	1.0023500	15965	2.44%
15	CID	c	N-term	none	-1	c-1	16.0241991	4881	0.75%
16	CID	c	N-term	none	0	c	17.0265491	4812	0.74%
17	CID	c	N-term	none	1	c+1	18.0288991	4610	0.71%
18	CID	z	C-term	-H2O	-1	z-H2O-1	-17.0188991	7309	1.12%
19	CID	z	C-term	-H2O	0	z-H2O	-16.0165491	5876	0.90%
20	CID	z_dot	C-term	-H2O	0	z_dot-H2O	-16.0187241	4791	0.73%
21	CID	z_dot	C-term	-NH3	0	z_dot-NH3	-15.0347084	4067	0.62%
22	CID	z_dot	C-term	-NH3	1	z_dot-NH3+1	-14.0323584	3972	0.61%
23	CID	y	C-term	-H2O	-1	y-H2O-1	-1.0023500	7304	1.12%
24	CID	y	C-term	-H2O	0	y-H2O	0.0000000	31511	4.82%
25	CID	z	C-term	none	0	z	1.9940156	16073	2.46%
26	CID	z_dot	C-term	none	0	z_dot	1.9918406	6369	0.97%
27	CID	z_dot	C-term	none	1	z_dot+1	2.9941906	3871	0.59%
28	CID	y	C-term	none	-1	y-1	17.0082147	20279	3.10%
29	CID	y	C-term	none	0	y	18.0105647	145803	22.30%
30	CID	y	C-term	none	1	y+1	19.0129147	12533	1.92%
31	CID	x	C-term	-H2O	-1	x-H2O-1	24.9769145	2860	0.44%
32	CID	x	C-term	-H2O	0	x-H2O	25.9792645	2870	0.44%
33	CID	x	C-term	-NH3	0	x-NH3	26.9632802	2753	0.42%
34	CID	x	C-term	-NH3	1	x-NH3+1	27.9656302	3089	0.47%
35	CID	x	C-term	none	-1	x-1	42.9874792	3519	0.54%
36	CID	x	C-term	none	0	x	43.9898292	3802	0.58%
37	CID	x	C-term	none	1	x+1	44.9921792	3506	0.54%
38	HCD	a	N-term	-H2O	-1	a-H2O-1	-47.0078293	3157	0.46%
39	HCD	a	N-term	-H2O	0	a-H2O	-46.0054793	4580	0.67%
40	HCD	a	N-term	-NH3	0	a-NH3	-45.0214636	5214	0.76%
41	HCD	a	N-term	-NH3	1	a-NH3+1	-44.0191136	4013	0.58%
42	HCD	a	N-term	none	-1	a-1	-28.9972646	4203	0.61%
43	HCD	a	N-term	none	0	a	-27.9949146	9351	1.36%
44	HCD	a	N-term	none	1	a+1	-26.9925646	3556	0.52%
45	HCD	b	N-term	-H2O	-1	b-H2O-1	-19.0129147	7051	1.03%
46	HCD	b	N-term	-H2O	0	b-H2O	-18.0105647	30162	4.40%
47	HCD	b	N-term	-NH3	0	b-NH3	-17.0265490	13411	1.95%
48	HCD	b	N-term	-NH3	1	b-NH3+1	-16.0241990	5317	0.77%
49	HCD	c	N-term	-H2O	-1	c-H2O-1	-1.9863656	4763	0.69%
50	HCD	b	N-term	none	-1	b-1	-1.0023500	21473	3.13%
51	HCD	b	N-term	none	0	b	0.0000000	109760	15.99%
52	HCD	b	N-term	none	1	b+1	1.0023500	10954	1.60%
53	HCD	c	N-term	none	-1	c-1	16.0241991	5219	0.76%
54	HCD	c	N-term	none	0	c	17.0265491	4568	0.67%
55	HCD	c	N-term	none	1	c+1	18.0288991	3920	0.57%
56	HCD	z	C-term	-H2O	-1	z-H2O-1	-17.0188991	5468	0.80%
57	HCD	z	C-term	-H2O	0	z-H2O	-16.0165491	5061	0.74%
58	HCD	z_dot	C-term	-H2O	0	z_dot-H2O	-16.0187241	4330	0.63%
59	HCD	z_dot	C-term	-NH3	0	z_dot-NH3	-15.0347084	3293	0.48%
60	HCD	z_dot	C-term	-NH3	1	z_dot-NH3+1	-14.0323584	3100	0.45%
61	HCD	y	C-term	-H2O	-1	y-H2O-1	-1.0023500	7194	1.05%
62	HCD	y	C-term	-H2O	0	y-H2O	0.0000000	27030	3.94%
63	HCD	z	C-term	none	0	z	1.9940156	15615	2.28%
64	HCD	z_dot	C-term	none	0	z_dot	1.9918406	5139	0.75%
65	HCD	z_dot	C-term	none	1	z_dot+1	2.9941906	3347	0.49%
66	HCD	y	C-term	none	-1	y-1	17.0082147	22956	3.35%
67	HCD	y	C-term	none	0	y	18.0105647	136085	19.83%
68	HCD	y	C-term	none	1	y+1	19.0129147	10591	1.54%
69	HCD	x	C-term	-H2O	-1	x-H2O-1	24.9769145	2312	0.34%
70	HCD	x	C-term	-H2O	0	x-H2O	25.9792645	2293	0.33%
71	HCD	x	C-term	-NH3	0	x-NH3	26.9632802	2330	0.34%
72	HCD	x	C-term	-NH3	1	x-NH3+1	27.9656302	2485	0.36%
73	HCD	x	C-term	none	-1	x-1	42.9874792	2944	0.43%
74	HCD	x	C-term	none	0	x	43.9898292	2963	0.43%
75	HCD	x	C-term	none	1	x+1	44.9921792	3179	0.46%
76	ETD	a	N-term	-H2O	-1	a-H2O-1	-47.0078293	3197	0.45%
77	ETD	a	N-term	-H2O	0	a-H2O	-46.0054793	3478	0.49%
78	ETD	a	N-term	-NH3	0	a-NH3	-45.0214636	4021	0.56%
79	ETD	a	N-term	-NH3	1	a-NH3+1	-44.0191136	3609	0.51%
80	ETD	a	N-term	none	-1	a-1	-28.9972646	3602	0.50%
81	ETD	a	N-term	none	0	a	-27.9949146	5793	0.81%
82	ETD	a	N-term	none	1	a+1	-26.9925646	15040	2.11%
83	ETD	b	N-term	-H2O	-1	b-H2O-1	-19.0129147	3199	0.45%
84	ETD	b	N-term	-H2O	0	b-H2O	-18.0105647	3778	0.53%
85	ETD	b	N-term	-NH3	0	b-NH3	-17.0265490	3411	0.48%
86	ETD	b	N-term	-NH3	1	b-NH3+1	-16.0241990	3508	0.49%
87	ETD	c	N-term	-H2O	-1	c-H2O-1	-1.9863656	3738	0.52%
88	ETD	c	N-term	-H2O	0	c-H2O	-0.9840156	4284	0.60%
89	ETD	b	N-term	none	0	b	0.0000000	9911	1.39%
90	ETD	b	N-term	none	1	b+1	1.0023500	5898	0.83%
91	ETD	c	N-term	none	-1	c-1	16.0241991	19020	2.67%
92	ETD	c	N-term	none	0	c	17.0265491	158533	22.22%
93	ETD	c	N-term	none	1	c+1	18.0288991	18970	2.66%
94	ETD	z	C-term	-H2O	-1	z-H2O-1	-17.0188991	3006	0.42%
95	ETD	z	C-term	-H2O	0	z-H2O	-16.0165491	3295	0.46%
96	ETD	z_dot	C-term	-H2O	0	z_dot-H2O	-16.0187241	3567	0.50%
97	ETD	z_dot	C-term	-NH3	0	z_dot-NH3	-15.0347084	4140	0.58%
98	ETD	z_dot	C-term	-NH3	1	z_dot-NH3+1	-14.0323584	7709	1.08%
99	ETD	y	C-term	-H2O	-1	y-H2O-1	-1.0023500	3021	0.42%
100	ETD	z	C-term	none	-1	z-1	0.9916656	3790	0.53%
101	ETD	z	C-term	none	0	z	1.9940156	14257	2.00%
102	ETD	z_dot	C-term	none	0	z_dot	1.9918406	103933	14.57%
103	ETD	z_dot	C-term	none	1	z_dot+1	2.9941906	38024	5.33%
104	ETD	y	C-term	none	-1	y-1	17.0082147	6818	0.96%
105	ETD	y	C-term	none	0	y	18.0105647	17521	2.46%
106	ETD	y	C-term	none	1	y+1	19.0129147	6279	0.88%
107	ETD	x	C-term	-H2O	-1	x-H2O-1	24.9769145	2878	0.40%
108	ETD	x	C-term	-H2O	0	x-H2O	25.9792645	3009	0.42%
109	ETD	x	C-term	-NH3	0	x-NH3	26.9632802	3018	0.42%
110	ETD	x	C-term	-NH3	1	x-NH3+1	27.9656302	3020	0.42%
111	ETD	x	C-term	none	-1	x-1	42.9874792	3553	0.50%
112	ETD	x	C-term	none	0	x	43.9898292	3653	0.51%
113	ETD	x	C-term	none	1	x+1	44.9921792	4321	0.61%
114	ETHCD	a	N-term	-H2O	-1	a-H2O-1	-47.0078293	2732	0.41%
115	ETHCD	a	N-term	-H2O	0	a-H2O	-46.0054793	2097	0.31%
116	ETHCD	a	N-term	-NH3	0	a-NH3	-45.0214636	2380	0.36%
117	ETHCD	a	N-term	-NH3	1	a-NH3+1	-44.0191136	2480	0.37%
118	ETHCD	a	N-term	none	-1	a-1	-28.9972646	2600	0.39%
119	ETHCD	a	N-term	none	0	a	-27.9949146	5279	0.79%
120	ETHCD	a	N-term	none	1	a+1	-26.9925646	9489	1.42%
121	ETHCD	b	N-term	-H2O	-1	b-H2O-1	-19.0129147	1979	0.30%
122	ETHCD	b	N-term	-H2O	0	b-H2O	-18.0105647	2787	0.42%
123	ETHCD	b	N-term	-NH3	0	b-NH3	-17.0265490	2513	0.38%
